Fonte ;Categoria da Falacia;Nome da Falacia;Nome em Latim;Descricao;Exemplo 1;Exemplo 2;Exemplo 3;Argumentação valida;;;;;
1;Informais;Explicativa;;Uma analogia bem concebida pode ser útil durante um momento em que se tenta expor algo complexo.;O poder é como violino: Toma-se com a esquerda e toca-se com a direita.;;;;;;;;
1;Informais;Antítese;;Pode-se usar uma analogia para se referir a antítese do que parece ser a intenção.;Uma mulher sem o homem é como um peixe sem uma bicicleta.;;;;;;;;
1;Informais;Falsas Alternativas;;Este caso ocorre quando o argumentador propõe um número limitado de alternativas dentre todas as possíveis, em muitos casos já sugerido tendenciosamente, uma delas como sendo a verdadeira.;Se você não está a meu favor, então porque você está contra mim?;;;;;;;;
1;Informais;Da Divisão;;Esta falácia consiste em assumir que o verdadeiro para um todo, também é verdadeiro para suas partes. Não podemos assumir por exemplo que um coral afinado e melódico seja composto por cantores individualmente afinados e melódicos.;João sabe que o time de futebol de seu filho perdeu o campeonato da escola, indignado disse-lhe: 'Que droga filho, porque você jogou tão mal?';;;;;;;;
1;Informais;Falácia da Equivocação;;Nesta falácia usa-se uma palavra ou noção que possui dois sentidos diferentes. Em qual durante a própria falácia usa-se ora um desses sentidos ora outro tipicamente mudando de premissa para premissa ou de premissa para conclusão.;Somente o homem é um animal racional. Nenhuma mulher é homem, portanto, nenhuma mulher é racional.;;;;;;;;
1;Informais;Apelo ao Ridículo;;"Consiste na introdução de passagem ridicularizadora no argumento, com o intuito de encobrir a incapacidade (ou falta de vontade) de se suportar o argumento apropriadamente.
O humor, na verdade, pode ser usado durante uma discussão pois, no mínimo, tem o efeito ""terapêutico"" de reduzir as tensões e atritos emocionais, tornando o ambiente mais descontraído. Não pode, porém, ser usado como suporte de argumentação ou para auxiliar descrédito do oponente eu de seu argumento.";;;;;;;;;
1;Informais;Apelo à Ênfase (ou Falácia do Acento Impróprio);;Ocorre quando a sentença é direcionada a uma conclusão inadequada por força de uma acentuação tendenciosa ou incomum de uma palavra ou frase.;"Um estudande diz a seus colegas:
Sempre vejo o prof. Roberto, mas nunca com sua mulher.

A ênfase no final da frase é falaciosa, pois quer deixar implícito que o estudante viu o prof. Roberto com outra mulher que não sua esposa, embora ele esteja querendo dizer que nunca viu o prof. Roberto acompanhado";"Alguns órgãos da imprensa, na tentativa de causar um maior impacto com a manchete de seus jornais, frequentemente cometem a falácia do Acento Impróprio. Suponha, por exemplo, que o Presidente da República tenha assinado um memorando, distribuído a todos os ministérios e secretarias do governo, exaltando a todos a manter uma postura de contratação de pessoas totalmente isenta e imparcial, evitando cometer erros de discriminação cintra minorias como negros, homossexuais, etc.
Veja como isso poderia ser noticiado de maneira falaciosa:

""Governo emite comunicado privilegiando homossexuais.""";;;;;;;
1;Informais;Apelo ao Novo;;"É o oposto do Apelo à Tradição. No Apelo ao Novo, assume-se que uma idéia, lei, política, etc, é boa, simplesmente porque é nova.

A defesa de uma idéia, ou de uma conclusão de um argumento, deve sempre endepender do fato de ser novo ou velho. O que vale é o respaldo por premissas aceitáveis e que suportem corretamente o que se está oferecendo.";"""Nosso time perdeu feio na temporada passada, mas agora as coisas vão mudar, graças ao novo técnico que acabamos de contratar.""

Só porque é um novo técnico, sem dizer se ele tem referências ou um currículo de boas campanhas, não dá para acreditar que tudo irá mudar. Pode continuar tudo a mesma coisa, ou então até mesmo piorar.";;;;;;;;
1;Informais;Apelo à Emoção (ou Apelo ao Sentimento);;"Esse tipo de falácia ocorre quando se tenta argumentar com alguém que faz uso de fortes emoções ou sentimentos - positivos ou negativos - em vez de apresentar premissas e evidências convincentes. As emoções tipicamente usadas são a inveja, a raiva, o medo - variantes deste caso são chamadas de Apelo à Força - ou o amor, a cobiça, a culpa, vergonha, etc.
Sentimentos usados com frequência incluem patiotrismo, noções de cunho familiar, etc.";"""Sei que vocês, desta cidade, não aguentam mais ver ricos e poderosos se banqueteando com o dinheiro público, enquanto nós aqui passamos necessidade. Por isso, peço seu voto, para poder mudar esse estado de coisas.""

O candidato está argumentando que, por causa da injustiça social que o povo está sofrendo, ele deve ser eleito.";;;;;;;;
1;Informais;Envenenando o Poço;;"Este tipo de incorreção caracteriza-se pela rejeição de um argumento baseado em uma condição negativa - não importa se verdadeira ou falsa - acerca da pessoa que o proferiu. 
A situação particular do sexo, idade, aça, religião, profissão, etc. em nada deve afetar a aceitação de argumentos proferidos por essa pessoa, mesmo sobre os temas nos quais possa ter motivações ou interesses particulares. 
Podemos, no máximo ter motivo para desacreditar seu testemunho (veja Ad Hominem), mas não podemos dispensar sus argumentos apenas por essa razão.";"""Cale a boca, criança metida, como pode querer dar conselhos a um adulto?""

O adulto cometeu, nessa passagem, um evenenamento de poço: ao não aceitar o argumento da criança, essa pessoa categorizou-a como incompetente para proferir argumentos para adulto.";;;;;;;;
1;Informais;Generalização Apressada;Hasty Generalization;"Os argumentos que cometem essa falácia usam premissas insuficientes para garantir a conclusão numa construção.
Também ocorre quando a amostra usada para obter as evidÊncias é pequena demais.

A Generalização Apressada também engloba as falácias chamadas de Evidências Anedotais, nesses casos toma-se uma descrição feita por um indivíduo como fato, suportando uma generalização mais abrangente.";"""Todas as relações entre autor e editor começam com um aperto de mão e termina com um oficial de justiça entre os dois.""";"Uma versão mais problemática dessa categoria é a falácia do fato isolado, que ocorre quando se generaliza um único evento para toda uma categoria.

""Acabo de sair de um táxi cujo motorista confessou não gostar de pessoas negras. Acho que todos os taxistas são racistas.""";;;;;;;
1;Informais;Falácia do Acidente;;;;;;;;;;;
1;Informais;Falácia da Esperança;;;;;;;;;;;
1;Informais;Culpado por Associação;;;;;;;;;;;
1;Informais;"História ""Just So""";;;;;;;;;;;
